,Mapped LA,Population_2023,Income_2023,Total Crimes,Crime_Rate_per_1000
0,Peterborough,219509,18380.926153846085,23838,108.6
1,Cambridge,149963,24090.932307692245,15205,101.39
2,East Cambridgeshire,91466,24027.326153846225,4149,45.36
3,Fenland,103537,19165.836923077004,8036,77.61
4,Huntingdonshire,186066,22671.49846153846,10629,57.12
5,South Cambridgeshire,168541,28365.092307692394,7597,45.08
